,month,EMP,year
0,1,2577638.0,2020
1,2,2581020.0,2020
2,3,2566745.0,2020
3,4,2224292.0,2020
4,5,2234912.0,2020
5,6,2297346.0,2020
6,7,2612751.0,2020
7,8,2611083.0,2020
8,9,2624864.0,2020
9,10,2630532.0,2020
10,11,2642899.0,2020
11,12,2643484.0,2020
