,month,EMP,year
0,1,2534254.0,2018
1,2,2539983.0,2018
2,3,2566449.0,2018
3,4,2569351.0,2018
4,5,2594452.0,2018
5,6,2625589.0,2018
6,7,2599618.0,2018
7,8,2595278.0,2018
8,9,2613911.0,2018
9,10,2616739.0,2018
10,11,2631418.0,2018
11,12,2627127.0,2018
