stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,geo_node_id
208w0340,"Golf/Le Claire",,42.0553759,-87.7539051,,,,,,,22421
208w0345,"Golf/Leamington",,42.0553663,-87.7551961,,,,,,,22422
208w0350,"Golf/Laramie",,42.0553806,-87.7563058,,,,,,,22423
208w0355,"Golf/Terminal",,42.0553811,-87.7577073,,,,,,,22424
208w0360,"Golf/Lockwood",,42.0554001,-87.7587781,,,,,,,22425
208w0365,"Golf/Woods Dr.",,42.0554511,-87.7627373,,,,,,,22426
208w0370,"Golf/Harms",,42.05547,-87.7660456,,,,,,,22427
208w0400,"Golf/East Prairie",,42.0527576,-87.7097423,,,,,,,37330
209e0000,"Northwest Transportation Center",,42.0412796,-88.0369551,,,,,,,20351
209e0001,"Woodfield Mall (Entrance 1)",,42.0469963,-88.0390486,,,,,,,16882
209e0005,"Golf/Algonquin",,42.0513418,-87.9929758,,,,,,,6207
209e0010,"Golf/Fernandez",,42.0513503,-87.9907161,,,,,,,20352
209e0015,"Golf/Highland",,42.0513481,-87.9886499,,,,,,,20353
209e0020,"Golf/Milbrook",,42.0513241,-87.986019,,,,,,,20354
209e0025,"Golf/Arlington Towne Square",,42.0512616,-87.9838623,,,,,,,20355
209e0030,"Golf/Arlington Heights Rd.",,42.051241,-87.9814451,,,,,,,20356
209e0035,"Golf/Traffic Signal/Chase",,42.0512638,-87.9788558,,,,,,,20357
209e0040,"Golf/Goebbert",,42.0513033,-87.9752056,,,,,,,20358
209e0045,"Golf/Meier",,42.0505401,-87.9703634,,,,,,,20359
209e0050,"Golf/Arbor",,42.0497748,-87.9689253,,,,,,,20360
209e0055,"Golf/Grove",,42.0491513,-87.9671183,,,,,,,20361
209e0060,"Golf/Oakwood",,42.0486415,-87.9639291,,,,,,,20362
209e0065,"Golf/Pace Sign/Wally's Market",,42.0483298,-87.9616636,,,,,,,20363
209e0070,"Golf/Busse",,42.0480553,-87.9597133,,,,,,,20364
209e0075,"Golf/Edgewood",,42.0477888,-87.9578088,,,,,,,20365
209e0077,"Golf/Robert",,42.0475361,-87.9560906,,,,,,,20366
209e0080,"Golf/Cypress/Waverly",,42.047193,-87.9526676,,,,,,,20367
209e0085,"Golf/Lancaster",,42.0471718,-87.9516725,,,,,,,20368
209e0090,"Golf/We-Go",,42.0472158,-87.9501713,,,,,,,20369
209e0100,"Golf/Nawata",,42.0472486,-87.9486375,,,,,,,20370
209e0105,"Golf/Linneman",,42.0472858,-87.9477065,,,,,,,20371
209e0115,"Golf/Hunt Club/Wa-Pella",,42.0473373,-87.9452541,,,,,,,20372
209e0120,"Golf/Hi-Lusi",,42.0473896,-87.9434436,,,,,,,20373
209e0130,"Golf/Elmhurst",,42.0474245,-87.9417471,,,,,,,20374
209e0135,"Golf/Pace Shelter/Country Ln.",,42.0475248,-87.9377273,,,,,,,20375
209e0140,"Golf/Beau",,42.0475763,-87.9361453,,,,,,,20376
209e0145,"Golf/Shannon/Maple",,42.0476341,-87.9344866,,,,,,,20377
209e0155,"Golf/Elm",,42.0476663,-87.932613,,,,,,,20378
209e0160,"Golf/Marshall/School",,42.0477058,-87.9311503,,,,,,,20379
209e0165,"Golf/Owen",,42.0477596,-87.9296616,,,,,,,20380
209e0170,"Golf/William",,42.0477836,-87.9285478,,,,,,,20381
209e0175,"Golf/Louis",,42.0478541,-87.9267481,,,,,,,20382
209e0180,"Golf/Wilkins/Golfview",,42.0481058,-87.9244948,,,,,,,20383
209e0185,"Golf/Mt. Prospect",,42.0485893,-87.9216793,,,,,,,20384
209e0190,"Golf/Radcliffe",,42.0489571,-87.9195513,,,,,,,20385
209e0195,"Golf/Cumberland Pkwy.",,42.0493186,-87.917468,,,,,,,20386
209e0200,"Golf/Warrington",,42.0497473,-87.9150118,,,,,,,20387
209e0205,"Golf/Wolf",,42.0502223,-87.9125961,,,,,,,20388
209e0210,"Golf/State/Cumberland Circle",,42.0537573,-87.9112491,,,,,,,20389
209e0215,"State/Stratford",,42.0537293,-87.9119081,,,,,,,20390
209e0220,"State/Cornell/Northwest Hwy.",,42.0536559,-87.9137408,,,,,,,20391
209e0225,"Northwest Hwy./Cumberland Metra Station",,42.0525066,-87.9122408,,,,,,,20392
209e0230,"Northwest Hwy./Broadway",,42.0512553,-87.9094351,,,,,,,20393
209e0240,"Northwest Hwy./Littelfuse",,42.0487068,-87.9037245,,,,,,,20394
209e0245,"Northwest Hwy./Pace Northwest Garage",,42.0480168,-87.902209,,,,,,,20395
209e0260,"Miner/Western",,42.0444898,-87.8943303,,,,,,,20396
209e0265,"Miner/Perry",,42.043863,-87.8929373,,,,,,,20397
209e0270,"Miner/Laurel",,42.0433766,-87.8918293,,,,,,,20398
209e0275,"Miner/Jefferson",,42.0430768,-87.8911395,,,,,,,20399
209e0280,"Miner/Graceland",,42.0423441,-87.8894744,,,,,,,20400
209e0285,"Miner/Lee",,42.0417001,-87.8878278,,,,,,,20401
209e0295,"Northwest Hwy & Park Ridge Point",,42.0359578,-87.8660421,,,,,,,20403
209e0315,"Northwest Hwy & Renaissance Dr/Elliott Ave",,42.0338466,-87.8639761,,,,,,,20405
209e0325,"Northwest Hwy & Manor Ln",,42.0321065,-87.8619806,,,,,,,20407
209e0335,"Northwest Hwy & Potter Rd",,42.0307073,-87.8602205,,,,,,,20409
209e0390,"Busse Hwy & Bouterse St",,42.0235671,-87.8541988,,,,,,,20411
209e0400,"Busse Hwy & Shibley Ave",,42.0225953,-87.8524455,,,,,,,20413
209e0415,"Busse Hwy & Wilkinson Pkwy",,42.0210168,-87.8496706,,,,,,,20416
209e0420,"Busse Hwy & Seminary Ave",,42.0196669,-87.8472826,,,,,,,20417
209e0430,"556 Busse Hwy",,42.0180771,-87.8445071,,,,,,,20419
209e0435,"Busse Hwy & Greenwood Ave",,42.0160848,-87.8409576,,,,,,,20420
209e0460,"Busse Hwy & Touhy Ave (@ Morris St)",,42.0115831,-87.8339314,,,,,,,20422
209e0465,"Touhy Ave & Summit Ave",,42.011036,-87.8319941,,,,,,,20423
209e0470,"557 W Touhy Ave",,42.0110423,-87.8308553,,,,,,,20424
209e0475,"Northwest Hwy & Touhy Ave",,42.0108813,-87.8290613,,,,,,,20425
209e0480,"Northwest Hwy & Euclid Ave",,42.0103358,-87.8281716,,,,,,,20426
209e0490,"Northwest Hwy & Washington Ave (N)",,42.0092695,-87.8265128,,,,,,,20428
209e0515,"300 S Northwest Hwy",,42.0078858,-87.8243265,,,,,,,20430
209e0520,"Northwest Hwy & Merrill St",,42.0068796,-87.8226941,,,,,,,20432
209e0525,"Northwest Hwy & Ozark Ave",,42.0053241,-87.8202413,,,,,,,20433
209e0540,"Canfield Ave & Columbia Ave",,42.00332,-87.8213946,,,,,,,20435
209e0565,"Canfield Ave & Albion Ave/Ottawa Ave",,42.0006573,-87.8214306,,,,,,,20438
209e0575,"Canfield Ave & Arthur St",,41.9988216,-87.8214548,,,,,,,20439
209e0585,"Canfield Ave & Devon St",,41.9965963,-87.8215568,,,,,,,20440
209e0595,"Canfield Ave & Palatine Ave",,41.9951118,-87.8219039,,,,,,,20442
209e0600,"Canfield Ave & Talcott Rd",,41.9935481,-87.8221623,,,,,,,20443
209e0605,"Higgins Rd & Canfield Ave",,41.9843928,-87.8228786,,,,,,,20444
209e0615,"Higgins Rd & Oriole Ave (N)",,41.9835236,-87.8171111,,,,,,,20446
209e0625,"Higgins Rd & Bryn Mawr Ave/Gregory St",,41.9820993,-87.8143123,,,,,,,20448
209e0630,"Higgins Rd & Octavia Ave",,41.9817515,-87.8100386,,,,,,,37210
209e0635,"Harlem CTA Station",,41.9820041,-87.8082411,,,,,,,20449
209e0640,"Busse Hwy & Mason Ln",,42.0361275,-87.8763744,,,,,,,22428
209e0645,"Busse Hwy & Parkview Ln",,42.0359636,-87.8759423,,,,,,,22429
209e0650,"Busse Hwy & Applecreek ln",,42.0340053,-87.8725121,,,,,,,22430
209e0655,"Busse Hwy & Lundergan Ave",,42.0291614,-87.8649776,,,,,,,22431
209e0660,"Busse Hwy & Elliot Ave",,42.0285833,-87.8640215,,,,,,,22432
209e0665,"Busse Hwy & Glenview Ave",,42.0281633,-87.8631498,,,,,,,22433
209e0670,"Busse Hwy & Good Ave",,42.0278121,-87.8626671,,,,,,,22434
209e0675,"Busse Hwy & Hoffman Ave",,42.0271623,-87.8613766,,,,,,,22435
209e0680,"Busse Hwy & Potter Rd",,42.0265545,-87.8602873,,,,,,,22436
209e0685,"Martingale/Woodfield Rd.",,42.0430976,-88.0352671,,,,,,,23010
209e0690,"Woodfield Rd./Perimeter",,42.0430953,-88.0334273,,,,,,,23011
209e0695,"Woodfield Rd./Frontage",,42.0430276,-88.0294213,,,,,,,23012
209e0700,"Frontage/Golf",,42.0506125,-88.0279739,,,,,,,23013
209e0705,"Miner St & Busse Hwy",,42.0392311,-87.8816715,,,,,,,23014
209w0005,"Golf/Algonquin",,42.0514673,-87.9947125,,,,,,,20450
209w0010,"Golf/Fernandez",,42.0515096,-87.9910031,,,,,,,20451
209w0015,"Golf/Highland",,42.0515103,-87.9885136,,,,,,,20452
209w0020,"Golf/Milbrook",,42.051512,-87.9856551,,,,,,,20453
209w0030,"Golf/Arlington Heights Rd.",,42.0515068,-87.9824443,,,,,,,20454
209w0035,"Golf/Traffic Signal/Chase",,42.0515126,-87.9784496,,,,,,,20455
209w0040,"Golf/Goebbert",,42.0514816,-87.9745958,,,,,,,20456
209w0045,"Golf/Meier",,42.0504446,-87.9698718,,,,,,,20457
209w0050,"Golf/Arbor",,42.0498888,-87.9687678,,,,,,,20458
209w0055,"Golf/Grove",,42.0492688,-87.9669239,,,,,,,20459
209w0060,"Golf/Oakwood",,42.0487813,-87.9637503,,,,,,,20460
209w0070,"Golf/Busse",,42.0482523,-87.9599138,,,,,,,20461
209w0075,"Golf/Edgewood",,42.0479338,-87.9576833,,,,,,,20462
209w0077,"Golf/Robert",,42.0476818,-87.95589,,,,,,,20463
209w0080,"Golf/Waverly/Cypress",,42.0473913,-87.9525123,,,,,,,20464
209w0085,"Golf/Lancaster",,42.0473688,-87.9513338,,,,,,,20465
209w0090,"Golf/We-Go",,42.0473929,-87.9501983,,,,,,,20466
209w0095,"Golf/See Gwun",,42.0474301,-87.9490156,,,,,,,20467
209w0100,"Golf/Nawata",,42.0474503,-87.9478376,,,,,,,20468
209w0110,"Golf/Can-Dota",,42.0474686,-87.9465908,,,,,,,20469
209w0115,"Golf/Wa-Pella/Hunt Club",,42.0475225,-87.9449058,,,,,,,20470
209w0120,"Golf/Hi-Lusi",,42.0475688,-87.9433771,,,,,,,20471
209w0130,"Golf/Elmhurst",,42.0476056,-87.9417076,,,,,,,20472
209w0135,"Golf/Pace Sign/Country Ln.",,42.0477298,-87.9369124,,,,,,,20473
209w0140,"Golf/Beau",,42.0477596,-87.9359883,,,,,,,20474
209w0150,"Golf/Elm",,42.0478043,-87.9337761,,,,,,,20475
209w0155,"Golf/S. Elm st",,42.0478473,-87.9325311,,,,,,,20476
209w0160,"Golf/School/Marshall",,42.0478896,-87.9308265,,,,,,,20477
209w0165,"Golf/Owen",,42.0479035,-87.9295838,,,,,,,20478
209w0170,"Golf/William",,42.0479551,-87.9283686,,,,,,,20479
209w0175,"Golf/Louis",,42.0480565,-87.9264708,,,,,,,20480
209w0180,"Golf/Golfview/Wilkins",,42.048398,-87.9237706,,,,,,,20481
209w0185,"Golf/Mt. Prospect",,42.048771,-87.921646,,,,,,,20482
209w0190,"Golf/Radcliffe",,42.0491656,-87.9194051,,,,,,,20483
209w0195,"Golf/Cumberland Pkwy.",,42.0496608,-87.9165438,,,,,,,20484
209w0200,"Golf/Warrington",,42.0500143,-87.9144136,,,,,,,20485
209w0205,"Golf/Wolf",,42.0505264,-87.9124803,,,,,,,20486
209w0210,"State St & Wolf Rd",,42.0536423,-87.9110028,,,,,,,20487
209w0215,"State St & Stratford Rd",,42.0535678,-87.9120523,,,,,,,20488
209w0220,"State St & Northwest Hwy",,42.0535379,-87.9134121,,,,,,,20489
209w0225,"Cumberland Metra (484 Northwest Hwy)",,42.0525771,-87.912032,,,,,,,20490
209w0230,"Northwest Hwy./Broadway",,42.051198,-87.9092243,,,,,,,20491
209w0240,"Northwest Hwy./Littelfuse",,42.0486838,-87.9035715,,,,,,,20492
209w0245,"Northwest Hwy./Pace Northwest Garage",,42.0480908,-87.9021706,,,,,,,20493
209w0260,"Miner/Western",,42.044495,-87.8940953,,,,,,,20494
209w0265,"Miner/Perry",,42.0438911,-87.8928435,,,,,,,20495
209w0270,"Miner/Laurel",,42.0433748,-87.8916648,,,,,,,20496
209w0275,"Miner/Jefferson",,42.0430305,-87.8909308,,,,,,,20497
209w0280,"Miner/Graceland",,42.0423326,-87.8891708,,,,,,,20498
209w0285,"Miner/Lee",,42.0416336,-87.8874581,,,,,,,20499
209w0290,"Miner St & Rand Rd",,42.0391171,-87.8720756,,,,,,,20500
209w0295,"Northwest Hwy & Park Ridge Point",,42.0357843,-87.8656458,,,,,,,20501
209w0310,"Northwest Hwy & Elliott Ave/Renaissance Dr",,42.0339583,-87.8638496,,,,,,,20503
209w0325,"Northwest Hwy & Manor Ln",,42.0318274,-87.861481,,,,,,,20505
209w0335,"Northwest Hwy & Potter Rd",,42.0310436,-87.8604778,,,,,,,20507
209w0390,"Busse Hwy & Bouterse St",,42.0235505,-87.8538538,,,,,,,20509
209w0400,"Busse Hwy & Shibley Ave",,42.0224671,-87.8519453,,,,,,,20511
209w0415,"Busse Hwy & Wilkinson Pkwy",,42.0210083,-87.8493623,,,,,,,20514
209w0420,"Busse Hwy & Seminary Ave",,42.0196985,-87.8470401,,,,,,,20515
209w0430,"575 Busse Hwy",,42.0181235,-87.8442343,,,,,,,20517
209w0435,"Busse Hwy & Greenwood Ave",,42.0155858,-87.8398525,,,,,,,20518
209w0460,"Touhy Ave & Busse Hwy",,42.0111688,-87.8326526,,,,,,,20521
209w0491,"Summit Ave & Prospect Ave",,42.0097033,-87.8303848,,,,,,,31853
209w0493,"Washington Ave & Summit Ave",,42.007781,-87.8266571,,,,,,,31845
209w0494,"Washington Ave & Northwest Hwy",,42.0085161,-87.8258368,,,,,,,31846
209w0515,"317 N Northwest Hwy",,42.007824,-87.8240439,,,,,,,20526
209w0520,"Northwest Hwy & Merrill St/Ozanam Ave",,42.0066156,-87.8220868,,,,,,,20528
209w0525,"Northwest Hwy & Ozark Ave",,42.0054438,-87.820267,,,,,,,20529
209w0540,"Canfield Ave & Columbia Ave",,42.0026421,-87.821307,,,,,,,20531
209w0565,"Canfield Ave & Ottawa Ave/Albion Ave",,42.0004878,-87.8213246,,,,,,,20533
209w0570,"Canfield Ave & Oshkosh Ave",,41.9989563,-87.821331,,,,,,,20534
209w0585,"Canfield Ave & Devon Ave",,41.9965148,-87.8214283,,,,,,,20536
209w0595,"Canfield Ave & Palatine Ave",,41.9948505,-87.8218203,,,,,,,20538
209w0600,"Canfield Ave & Talcott Ave",,41.9931133,-87.8221051,,,,,,,20539
209w0605,"Canfield Ave & Higgins Rd",,41.9847756,-87.8232281,,,,,,,20540
209w0610,"Higgins Rd & Ottawa Ave",,41.9838205,-87.8178451,,,,,,,20541
209w0620,"Higgins Rd & Oriole Ave (S)",,41.9825938,-87.8165846,,,,,,,20543
209w0640,"Busse Hwy & Hoffman Ave",,42.0271596,-87.8611026,,,,,,,22438
209w0645,"Busse Hwy & Good Ave",,42.0278013,-87.8623083,,,,,,,22439
209w0650,"Busse Hwy & Glenview Ave",,42.028188,-87.8630038,,,,,,,22440
209w0655,"Busse Hwy & Elliot Ave",,42.0284843,-87.8635201,,,,,,,22441
209w0660,"Busse Hwy & Lundergan Ave",,42.0291781,-87.8647416,,,,,,,22442
209w0665,"Busse Hwy & Crabtree Ln",,42.0340173,-87.8723848,,,,,,,22443
209w0670,"Busse Hwy & Parkview Ln",,42.0359698,-87.8758283,,,,,,,22444
209w0675,"Busse Hwy & Mason Ln",,42.0363298,-87.8764953,,,,,,,22445
210n0004,"West Lake/Pfingsten",,42.0877183,-87.8489836,,,,,,,23594
210n0011,"West Lake/Glenlake Prof. Offices",,42.0876111,-87.8468316,,,,,,,23595
210n0016,"West Lake/Elmdale",,42.0875871,-87.8417048,,,,,,,23596
210n0021,"Greenwood/West Lake",,42.0873723,-87.8393986,,,,,,,23597
210n0026,"Greenwood/Thornwood",,42.0839058,-87.8394336,,,,,,,23598
210n0031,"Greenwood/Buckingham Glen/Glenview Terrace",,42.0824603,-87.8394261,,,,,,,23599
210n0035,"Dempster/Waukegan",,42.0410011,-87.7986608,,,,,,,22728
210n0036,"Greenwood/Bellwood",,42.0814278,-87.8394153,,,,,,,23600
210n0040,"Glenview/Waukegan",,42.0728706,-87.8006689,,,,,,,22729
210n0041,"Greenwood/Lakewood",,42.0796241,-87.8393826,,,,,,,23601
210n0045,"Greenwood/East Lake",,42.0784095,-87.8393958,,,,,,,23602
210n0050,"Greenwood/Lindenwood",,42.0779128,-87.8393974,,,,,,,23603
210n0055,"Greenwood/Crestwood",,42.0771123,-87.8394066,,,,,,,23604
210n0060,"Greenwood/Springdale",,42.0760455,-87.8394623,,,,,,,23605
210n0065,"Greenwood/Knollwood",,42.0750233,-87.8394691,,,,,,,23606
210n0070,"Greenwood/Dell",,42.0740463,-87.8394743,,,,,,,23607
210n0075,"Glenview/Greenwood",,42.0731033,-87.8391448,,,,,,,23608
210n0080,"Glenview/Glenshire",,42.0730965,-87.8379278,,,,,,,23609
210n0085,"Glenview/Glendale",,42.0730786,-87.8367768,,,,,,,23610
210n0090,"Glenview/Glenwood",,42.0730666,-87.8352046,,,,,,,23611
210n0095,"Glenview/Crystal",,42.0730518,-87.8339773,,,,,,,23612
210n0100,"Glenview/Huber",,42.0730426,-87.8328514,,,,,,,23613
210n0105,"Glenview/Wedel",,42.0730414,-87.8315141,,,,,,,23614
210n0110,"Glenview/Prairie Lawn",,42.0730414,-87.8303225,,,,,,,23615
210n0115,"Glenview/Rolling Pass",,42.073038,-87.8290051,,,,,,,23616
210n0120,"Glenview/Meadow Lark",,42.0730253,-87.8279331,,,,,,,23617
210n0125,"Glenview/Terrace",,42.0730203,-87.8270851,,,,,,,23618
210n0130,"Glenview/Burnham",,42.0730116,-87.8265948,,,,,,,23619
210n0135,"Glenview/Gladish/Wedgewood",,42.0729968,-87.8253228,,,,,,,23620
210n0140,"Glenview/Park",,42.0729825,-87.8228126,,,,,,,23621
210n0145,"Glenview/Shermer",,42.0729888,-87.8197931,,,,,,,23622
210n0150,"Glenview/Lindenleaf",,42.0729446,-87.8171993,,,,,,,23623
210n0155,"Glenview/Roosevelt",,42.0729348,-87.8150656,,,,,,,23624
210n0160,"Glenview/Spruce",,42.07292,-87.8126215,,,,,,,23625
210n0165,"Glenview/Elm",,42.0729005,-87.8101898,,,,,,,23626
210n0170,"Glenview/Lincoln",,42.0728861,-87.8085603,,,,,,,23627
210n0175,"Glenview/Washington",,42.0728736,-87.8069308,,,,,,,23628
210n0180,"Glenview/Harlem",,42.0728816,-87.8060416,,,,,,,23629
210n0185,"Glenview/Pine",,42.0728426,-87.8036569,,,,,,,23630
210n0190,"Glenview/Church",,42.0728421,-87.8024308,,,,,,,23631
210n0200,"Waukegan/Dewes",,42.0713421,-87.79966,,,,,,,23632
210n0205,"Waukegan/Henley",,42.0702196,-87.7997539,,,,,,,23633
210n0210,"Waukegan/Linneman",,42.0690713,-87.7997506,,,,,,,23634
210n0215,"Waukegan/Palmgren/Harmony",,42.0668455,-87.7997058,,,,,,,23635
210n0220,"Waukegan/Central",,42.0647186,-87.7996658,,,,,,,23636
210n0225,"Waukegan/Harrison",,42.0618481,-87.7996193,,,,,,,23637
210n0230,"Waukegan/Colfax",,42.0606093,-87.7995643,,,,,,,23638
210n0235,"Waukegan/Overlook",,42.0587329,-87.7995076,,,,,,,23639
210n0240,"Waukegan/Golf",,42.0556143,-87.7994016,,,,,,,23640
210n0245,"Waukegan/Avon",,42.0540216,-87.7993678,,,,,,,23641
210n0250,"Waukegan/Emerson",,42.0517331,-87.7993339,,,,,,,23642
210n0255,"Waukegan/Lyons",,42.0511178,-87.7993259,,,,,,,23643
210n0260,"Waukegan/Beckwith",,42.0497088,-87.799263,,,,,,,23644
210n0265,"Waukegan/Church",,42.0479081,-87.7991833,,,,,,,23645
210n0270,"Waukegan/9016 Waukegan/Pace Shelter",,42.045151,-87.7991066,,,,,,,23646
210n0275,"Waukegan/Churchill/Greenwood",,42.0425343,-87.7990543,,,,,,,23647
210n0280,"Ferris/Dempster",,42.0407019,-87.7847951,,,,,,,23648
210n0285,"Ferris/Henning",,42.0397738,-87.7848301,,,,,,,23649
210n0290,"Ferris/Capulina",,42.0380468,-87.7848708,,,,,,,23650
210n0295,"Lincoln/Ferris",,42.0365428,-87.7849011,,,,,,,23651
210n0300,"Lincoln/Callie",,42.0359768,-87.7836258,,,,,,,23652
210n0305,"Lincoln/Fernald",,42.0356358,-87.7824501,,,,,,,23653
210n0310,"Lincoln/Georgiana",,42.0353591,-87.7813156,,,,,,,23654
210n0315,"Lincoln/School",,42.0354261,-87.7796226,,,,,,,23655
210n0320,"Lincoln/Morton",,42.0354783,-87.7781673,,,,,,,23656
210n0325,"Lincoln/McVicker",,42.0355063,-87.7773158,,,,,,,23657
210n0330,"Lincoln/Austin",,42.0355351,-87.7763131,,,,,,,23658
