stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
      8411,76518     ,TLSBWD-  76              ,68TH AVE NE & NE 195TH ST               ,                                        , 0, 0, 0,   47.769882, -122.248497
      8412,76520     ,TLSBWD-  76              ,68TH AVE NE & NE 190TH ST               ,                                        , 0, 0, 0,   47.766186, -122.249588
      8413,76522     ,TLSBWD-  76              ,68TH AVE NE & 18700 BLOCK               ,                                        , 0, 0, 0,   47.764576, -122.249641
      8414,76524     ,TLSBWD-  76              ,68TH AVE NE & NE 185TH ST               ,                                        , 0, 0, 0,   47.762287, -122.249710
      8415,76526     ,TLSBWD-  76              ,NORTHSHORE P&R & 68TH AVE NE            ,                                        , 0, 1, 0,   47.761040, -122.250885
      8416,76527     ,TLSBWD-  76              ,NE 181ST ST & 73RD AVE NE               ,                                        , 0, 0, 0,   47.759083, -122.243942
      8417,76590     ,TLSBWD-  76              ,BOTHELL WAY NE & BALLINGER WAY NE       ,                                        , 0, 1, 0,   47.753216, -122.277527
      8418,76595     ,TLSBWD-  76              ,BOTHELL WAY NE & LAKE FOREST PARK       ,                                        , 0, 1, 0,   47.752190, -122.280037
      8419,76610     ,TLSBWD-  76              ,BOTHELL WAY NE & NE 165TH ST            ,                                        , 0, 1, 0,   47.748093, -122.285049
      8420,76620     ,TLSBWD-  76              ,BOTHELL WAY NE & 39TH AVE NE            ,                                        , 0, 1, 0,   47.744499, -122.286514
      8421,76624     ,TLSBWD-  76              ,N 205TH ST & AURORA AVE N               ,                                        , 0, 0, 0,   47.777863, -122.347450
      8422,76625     ,TLSBWD-  76              ,N 205TH ST & FREMONT AVE N              ,                                        , 0, 0, 0,   47.777859, -122.350029
      8423,76630     ,TLSBWD-  76              ,BOTHELL WAY NE & NE 153RD ST            ,                                        , 0, 1, 0,   47.739384, -122.289886
      8424,76635     ,TLSBWD-  76              ,N 205TH ST & GREENWOOD AVE N            ,                                        , 0, 0, 0,   47.777836, -122.358513
      8425,76645     ,TLSBWD-  76              ,FIRDALE AVE & 241ST PL SW               ,                                        , 0, 0, 0,   47.778679, -122.363144
      8426,76655     ,TLSBWD-  76              ,FIRDALE AVE & 240TH PL SW               ,                                        , 0, 0, 0,   47.781216, -122.365974
      8427,76660     ,TLSBWD-  76              ,LK CITY WAY NE & NE 145TH ST            ,                                        , 0, 1, 0,   47.733150, -122.292519
      8428,76680     ,TLSBWD-  76              ,LK CITY WAY NE & NE 137TH ST            ,                                        , 0, 1, 0,   47.728077, -122.292343
      8429,76700     ,TLSBWD-  76              ,LK CITY WAY NE & NE 130TH ST            ,                                        , 0, 1, 0,   47.722694, -122.293411
      8430,76710     ,TLSBWD-  76              ,LK CITY WAY NE & NE 125TH ST            ,                                        , 0, 1, 0,   47.718960, -122.295525
      8431,76720     ,TLSBWD-  76              ,LK CITY WAY NE & NE 125TH ST            ,                                        , 0, 1, 0,   47.720383, -122.294479
      8432,76730     ,TLSBWD-  76              ,LK CITY WAY NE & NE 130TH ST            ,                                        , 0, 1, 0,   47.723164, -122.292976
      8433,76750     ,TLSBWD-  76              ,LK CITY WAY NE & NE 137TH ST            ,                                        , 0, 1, 0,   47.728909, -122.292168
      8434,76770     ,TLSBWD-  76              ,BOTHELL WAY NE & NE 145TH ST            ,                                        , 0, 1, 0,   47.734028, -122.292343
      8435,76790     ,TLSBWD-  76              ,BOTHELL WAY NE & NE 153RD ST            ,                                        , 0, 1, 0,   47.739723, -122.289368
      8436,76810     ,TLSBWD-  76              ,BOTHELL WAY NE & NE 165TH ST            ,                                        , 0, 1, 0,   47.748486, -122.284569
      8437,76820     ,TLSBWD-  76              ,BOTHELL WAY NE & LAKE FOREST PARK       ,                                        , 0, 1, 0,   47.752117, -122.279831
      8438,76830     ,TLSBWD-  76              ,BOTHELL WAY NE & BALLINGER WAY NE       ,                                        , 0, 1, 0,   47.753731, -122.275841
      8439,76840     ,TLSBWD-  76              ,NE BOTHELL WAY & 61ST AVE NE            ,                                        , 0, 1, 0,   47.758301, -122.261803
      8440,76870     ,TLSBWD-  76              ,NE BOTHELL WAY & 68TH AVE NE            ,                                        , 0, 1, 0,   47.758202, -122.248810
