trip_no,trip_id,orig_trip_id,route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used,begin_time,end_time,mileage
         1,MADSC-EB  ,MADSC-EB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
        41,21731063  ,21731063                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        42,21731067  ,21731067                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        43,21731072  ,21731072                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        44,21731078  ,21731078                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        45,21731083  ,21731083                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2448.0667, 2467.0000,    3.2230
        46,21730963  ,21730963                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        47,21730971  ,21730971                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2450.9167, 2475.9500,    5.8907
        48,21730977  ,21730977                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2312.9333, 2336.9500,    5.8907
        49,21730988  ,21730988                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2504.9500, 2536.0500,    7.2129
        50,21730992  ,21730992                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2346.9333, 2385.0667,    7.0640
        51,21730995  ,21730995                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        52,21731005  ,21731005                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        53,21731008  ,21731008                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        54,21731016  ,21731016                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        55,21731025  ,21731025                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        56,21731030  ,21731030                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        57,21731035  ,21731035                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        58,21731040  ,21731040                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        59,21731050  ,21731050                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2419.9500, 2450.9167,    4.5617
        60,21731056  ,21731056                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        61,21731058  ,21731058                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        62,21731065  ,21731065                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        63,21731069  ,21731069                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        64,21731074  ,21731074                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        65,21731079  ,21731079                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        66,21731080  ,21731080                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2385.0667, 2405.0000,    3.2230
        67,21730965  ,21730965                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        68,21730970  ,21730970                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2482.9333, 2504.9668,    5.8907
        69,21730976  ,21730976                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2341.9167, 2366.9500,    5.8907
        70,21730980  ,21730980                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        71,21730984  ,21730984                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        72,21730991  ,21730991                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2378.9333, 2417.0667,    7.0640
        73,21730998  ,21730998                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        74,21731003  ,21731003                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        75,21731004  ,21731004                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        76,21731024  ,21731024                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2310.9500, 2341.9167,    4.5617
        77,21731029  ,21731029                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        78,21731034  ,21731034                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        79,21731039  ,21731039                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        80,21731045  ,21731045                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2452.9500, 2482.9333,    4.5617
        81,21731052  ,21731052                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        82,21731057  ,21731057                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        83,21731064  ,21731064                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        84,21731068  ,21731068                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        85,21731073  ,21731073                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 9999.9902,-9999.9902,    0.0000
        86,21731077  ,21731077                        108,100161    ,100161                   ,27                                      ,                                        ,Yesler-Leschi Park                      , 3, 0, 2417.0667, 2437.0000,    3.2230
        87,21731059  ,21731059                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 9999.9902,-9999.9902,    0.0000
        88,21730837  ,21730837                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2409.6499, 2460.9333,   12.2808
        89,21730869  ,21730869                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2460.9333, 2483.7168,    6.0002
        90,21730903  ,21730903                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2512.1167, 2552.7832,    9.3538
        91,21730956  ,21730956                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2553.8167, 2584.9834,    9.9443
        92,21730825  ,21730825                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2539.3667, 2583.4668,   12.0260
        93,21730839  ,21730839                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2341.6499, 2393.9167,   12.2808
        94,21730942  ,21730942                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2393.9167, 2419.7168,    6.0002
        95,21730955  ,21730955                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2467.6333, 2512.9834,   11.9301
        96,21730826  ,21730826                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2514.3667, 2558.4668,   12.0260
        97,21730832  ,21730832                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2464.8167, 2497.9834,    9.9443
        98,21730906  ,21730906                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2420.0500, 2463.7832,    7.9287
        99,21730787  ,21730787                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2523.8167, 2554.9834,    9.9443
       100,21730793  ,21730793                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       101,21730802  ,21730802                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       102,21730831  ,21730831                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       103,21730835  ,21730835                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1986.2334, 1988.6333,    0.3467
       104,21730844  ,21730844                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2200.2334, 2202.6333,    0.3467
       105,21730856  ,21730856                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1755.5834, 1757.9833,    0.3467
       106,21730862  ,21730862                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1568.5834, 1570.9833,    0.3467
       107,21730868  ,21730868                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2313.8667, 2349.9668,    9.9443
       108,21730871  ,21730871                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2424.9167, 2449.7168,    6.0002
       109,21730880  ,21730880                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       110,21730887  ,21730887                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       111,21730895  ,21730895                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       112,21730899  ,21730899                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       113,21730904  ,21730904                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2483.0500, 2522.7832,    7.9287
       114,21730909  ,21730909                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       115,21730916  ,21730916                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       116,21730937  ,21730937                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
