trip_no,trip_id,orig_trip_id,route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used,begin_time,end_time,mileage
         1,MADSC-EB  ,MADSC-EB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
       397,21381772  ,21381772                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 9999.9902,-9999.9902,    0.0000
       398,21381774  ,21381774                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 9999.9902,-9999.9902,    0.0000
       399,21381776  ,21381776                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 9999.9902,-9999.9902,    0.0000
       400,21381958  ,21381958                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2315.1833, 2359.8501,    8.1165
       401,21381755  ,21381755                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2362.1833, 2404.8501,    8.1165
       402,21381771  ,21381771                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2302.4333, 2342.0667,    7.9600
       403,21380561  ,21380561                         67,100059    ,100059                   ,167                                     ,                                        ,Auburn-Kent-Renton-Univ Dist            , 3, 0, 9999.9902,-9999.9902,    0.0000
       404,21380560  ,21380560                         67,100059    ,100059                   ,167                                     ,                                        ,Auburn-Kent-Renton-Univ Dist            , 3, 0, 9999.9902,-9999.9902,    0.0000
       405,21380559  ,21380559                         67,100059    ,100059                   ,167                                     ,                                        ,Auburn-Kent-Renton-Univ Dist            , 3, 0, 9999.9902,-9999.9902,    0.0000
       406,21730788  ,21730788                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2496.8167, 2529.9834,    9.9443
       407,21730905  ,21730905                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2454.0500, 2495.7832,    7.9287
       408,21730974  ,21730974                        118,100194    ,100194                   ,33                                      ,                                        ,Ft Lawton                               , 3, 0, 2372.1499, 2412.9500,    7.3478
       409,21730952  ,21730952                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2473.3667, 2518.4668,   12.0260
       410,21730957  ,21730957                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2404.6333, 2452.9668,   11.9301
       411,21730813  ,21730813                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2372.8667, 2408.9668,    9.9443
       412,21730816  ,21730816                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       413,21730827  ,21730827                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2426.3667, 2475.9333,   12.2808
       414,21730829  ,21730829                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       415,21730842  ,21730842                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2260.2334, 2262.6333,    0.3467
       416,21730849  ,21730849                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2050.2334, 2052.6333,    0.3467
       417,21730853  ,21730853                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1809.2334, 1811.6333,    0.3467
       418,21730874  ,21730874                        159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 0, 2475.9333, 2497.0500,    4.7468
       419,21730878  ,21730878                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       420,21730885  ,21730885                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       421,21730893  ,21730893                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       422,21730907  ,21730907                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2322.1167, 2371.6667,    9.3538
       423,21730914  ,21730914                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       424,21730921  ,21730921                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       425,21730789  ,21730789                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2437.6333, 2482.9834,   11.9301
       426,21730876  ,21730876                        159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 0, 2374.9167, 2398.1001,    4.7468
       427,21731099  ,21731099                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2322.6499, 2374.9167,   12.2808
       428,21730815  ,21730815                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       429,21730818  ,21730818                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       430,21730821  ,21730821                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       431,21730838  ,21730838                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2361.6499, 2413.9167,   12.2808
       432,21730845  ,21730845                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2170.2334, 2172.6333,    0.3467
       433,21730855  ,21730855                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1969.2334, 1971.6333,    0.3467
       434,21730875  ,21730875                        159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 0, 2413.9167, 2437.0500,    4.7468
       435,21730881  ,21730881                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       436,21730888  ,21730888                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       437,21730900  ,21730900                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       438,21730910  ,21730910                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       439,21730917  ,21730917                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       440,21730796  ,21730796                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       441,21730834  ,21730834                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1867.2334, 1869.6333,    0.3467
       442,21730891  ,21730891                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       443,21730920  ,21730920                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       444,21730820  ,21730820                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       445,21730894  ,21730894                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       446,21730922  ,21730922                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       447,21730948  ,21730948                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1780.2334, 1782.6333,    0.3467
       448,21730950  ,21730950                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 2003.2334, 2005.6333,    0.3467
       449,21730932  ,21730932                        159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 0, 9999.9902,-9999.9902,    0.0000
       450,21730961  ,21730961                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1952.2334, 1954.6333,    0.3467
       451,21730799  ,21730799                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       452,21730851  ,21730851                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 1918.2334, 1920.6333,    0.3467
       453,21730902  ,21730902                        159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 0, 9999.9902,-9999.9902,    0.0000
       454,21730822  ,21730822                        151,100023    ,100023                   ,124                                     ,                                        ,Tukwila - E Marginal - CBD              , 3, 0, 9999.9902,-9999.9902,    0.0000
       455,21730925  ,21730925                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       456,21381505  ,21381505                         44,100019    ,100019                   ,120                                     ,                                        ,Burien to Seattle via Ambaum & Delridge , 3, 0, 9999.9902,-9999.9902,    0.0000
       457,21381725  ,21381725                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       458,21381736  ,21381736                         84,100022    ,100022                   ,123                                     ,                                        ,Gregory Heights express                 , 3, 0, 9999.9902,-9999.9902,    0.0000
       459,21716990  ,21716990                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 9999.9902,-9999.9902,    0.0000
       460,21381307  ,21381307                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 2419.0667, 2492.9834,   19.6640
       461,21381261  ,21381261                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       462,21381748  ,21381748                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 9999.9902,-9999.9902,    0.0000
       463,21381273  ,21381273                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       464,21381912  ,21381912                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       465,21381256  ,21381256                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 9999.9902,-9999.9902,    0.0000
       466,21381270  ,21381270                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       467,21381722  ,21381722                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       468,21381267  ,21381267                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 9999.9902,-9999.9902,    0.0000
       469,21381724  ,21381724                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       470,21381735  ,21381735                         84,100022    ,100022                   ,123                                     ,                                        ,Gregory Heights express                 , 3, 0, 9999.9902,-9999.9902,    0.0000
       471,21381309  ,21381309                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 2387.0667, 2464.9668,   19.6640
       472,21381258  ,21381258                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       473,21381272  ,21381272                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       474,21381746  ,21381746                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       475,21381271  ,21381271                         70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 0, 9999.9902,-9999.9902,    0.0000
       476,21381726  ,21381726                         51,100020    ,100020                   ,121                                     ,                                        ,Normandy Park express                   , 3, 0, 9999.9902,-9999.9902,    0.0000
       477,21381737  ,21381737                         84,100022    ,100022                   ,123                                     ,                                        ,Gregory Heights express                 , 3, 0, 9999.9902,-9999.9902,    0.0000
       478,21381813  ,21381813                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 2346.0166, 2384.9333,    9.4481
       479,21600802  ,21600802                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       480,21600839  ,21600839                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       481,21600854  ,21600854                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       482,21600869  ,21600869                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       483,21600871  ,21600871                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       484,21759758  ,21759758                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       485,21767729  ,21767729                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       486,21767800  ,21767800                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1682.2334, 1684.6333,    0.3467
       487,21767804  ,21767804                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1472.2334, 1474.6333,    0.3467
       488,21768327  ,21768327                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       489,21600803  ,21600803                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       490,21600809  ,21600809                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       491,21600830  ,21600830                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       492,21600836  ,21600836                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       493,21600852  ,21600852                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       494,21759761  ,21759761                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       495,21767732  ,21767732                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       496,21767795  ,21767795                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1839.2334, 1841.6333,    0.3467
       497,21767805  ,21767805                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1412.2334, 1414.6333,    0.3467
       498,21888298  ,21888298                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1622.2334, 1624.6333,    0.3467
       499,21600777  ,21600777                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2543.6333, 2565.0166,    4.9409
       500,21600845  ,21600845                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2301.9500, 2326.0500,    4.9409
       501,21600849  ,21600849                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       502,21600858  ,21600858                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2370.0667, 2414.7666,    7.4614
       503,21600862  ,21600862                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       504,21759802  ,21759802                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2414.7666, 2458.0166,    9.5213
       505,21759810  ,21759810                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       506,21767770  ,21767770                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2493.4500, 2542.9167,   11.9079
       507,21767780  ,21767780                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2287.2334, 2289.6333,    0.3467
       508,21767788  ,21767788                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2050.2334, 2052.6333,    0.3467
       509,21382072  ,21382072                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2468.7168, 2513.9333,   10.9814
       510,21600784  ,21600784                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2394.7168, 2432.0500,    6.6427
       511,21382249  ,21382249                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       512,21382279  ,21382279                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       513,21600812  ,21600812                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       514,21600818  ,21600818                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2428.0667, 2471.7666,    7.4614
       515,21600840  ,21600840                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2357.7168, 2395.0500,    6.6427
       516,21759800  ,21759800                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2471.7666, 2511.0000,    9.5213
       517,21600811  ,21600811                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       518,21382255  ,21382255                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       519,21381990  ,21381990                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2562.6333, 2580.9668,    5.6136
       520,21382004  ,21382004                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2348.7500, 2371.9500,    5.6136
       521,21382013  ,21382013                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       522,21382022  ,21382022                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       523,21382258  ,21382258                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2389.9333, 2432.7666,    8.7081
       524,21382266  ,21382266                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       525,21382276  ,21382276                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       526,21600805  ,21600805                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 1563.2334, 1565.6333,    0.3467
       527,21600808  ,21600808                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 1442.2334, 1444.6333,    0.3467
       528,21600832  ,21600832                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       529,21600835  ,21600835                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       530,21759773  ,21759773                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       531,21759778  ,21759778                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2432.7666, 2481.0166,   11.2712
       532,21759786  ,21759786                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       533,21767723  ,21767723                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 9999.9902,-9999.9902,    0.0000
       534,21767741  ,21767741                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2505.4500, 2561.9333,   13.5267
       535,21767751  ,21767751                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2282.4500, 2347.8833,   13.5267
       536,21767760  ,21767760                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2064.2334, 2066.6333,    0.3467
       537,21767769  ,21767769                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 1794.2334, 1796.6333,    0.3467
       538,21381752  ,21381752                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2454.1833, 2495.8501,    8.1165
       539,21381769  ,21381769                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2403.4333, 2440.0667,    7.9600
       540,21381927  ,21381927                        175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 0, 2346.1833, 2389.8501,    8.1165
       541,21381815  ,21381815                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 2414.0166, 2451.9333,    9.4481
       542,21381820  ,21381820                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 9999.9902,-9999.9902,    0.0000
       543,21381816  ,21381816                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 2455.0166, 2488.9333,    9.4481
       544,21381817  ,21381817                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 2378.0166, 2416.9333,    9.4481
       545,21381965  ,21381965                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2417.1499, 2431.8501,    1.9199
       546,21381968  ,21381968                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2356.1499, 2371.8501,    1.9199
       547,21382219  ,21382219                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2431.8501, 2450.0833,    2.1505
       548,21382222  ,21382222                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2371.8501, 2390.1167,    2.1505
       549,21381963  ,21381963                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2450.1499, 2464.8501,    1.9199
       550,21381966  ,21381966                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2401.1499, 2415.8501,    1.9199
       551,21382220  ,21382220                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2415.8501, 2434.1167,    2.1505
       552,21382223  ,21382223                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2355.8501, 2374.1167,    2.1505
       553,21382373  ,21382373                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2340.1499, 2355.8501,    1.9199
       554,21382374  ,21382374                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2464.8501, 2483.0833,    2.1505
       555,21381964  ,21381964                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2436.1499, 2450.8501,    1.9199
       556,21381967  ,21381967                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2374.1499, 2389.8501,    1.9199
       557,21381969  ,21381969                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2320.1499, 2335.8501,    1.9199
       558,21382218  ,21382218                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2450.8501, 2469.0833,    2.1505
       559,21382221  ,21382221                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2389.8501, 2408.1167,    2.1505
       560,21382224  ,21382224                         36,100348    ,100348                   ,99                                      ,                                        ,Waterfront                              , 3, 0, 2335.8501, 2354.1167,    2.1505
       561,21381818  ,21381818                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 9999.9902,-9999.9902,    0.0000
       562,21381821  ,21381821                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 9999.9902,-9999.9902,    0.0000
       563,21381828  ,21381828                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 9999.9902,-9999.9902,    0.0000
       564,21381814  ,21381814                        179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 0, 2493.0166, 2525.9333,    9.4481
       565,21809603  ,21809603                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 2387.2334, 2453.0500,   11.6188
       566,21809616  ,21809616                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 2300.0166, 2367.1167,   11.6423
       567,21809627  ,21809627                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 9999.9902,-9999.9902,    0.0000
       568,21809640  ,21809640                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 9999.9902,-9999.9902,    0.0000
       569,21795792  ,21795792                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 2411.0500, 2447.0833,    6.2945
       570,21795794  ,21795794                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 2336.0500, 2373.0833,    6.2945
       571,21795793  ,21795793                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 2380.0500, 2417.0833,    6.2945
       572,21809722  ,21809722                         46,100228    ,100228                   ,48                                      ,                                        ,Loyal Heights/Mt Baker TC               , 3, 0, 9999.9902,-9999.9902,    0.0000
