stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
        42,PNR    42^,TLSBWD-  76              ,PNRCottage Lake Assembly of God         ,PNRCottage Lake Assembly of God         , 3, 0, 0,   47.743015, -122.081062
        43,PNR    43^,TLSBWD-  76              ,PNRWoodinville P&R                      ,PNRWoodinville P&R                      , 2, 0, 0,   47.756817, -122.151283
        44,PNR    44^,TLSBWD-  76              ,PNRWoodinville Unitarian Universalist Ch,PNRWoodinville Unitarian Universalist Ch, 3, 0, 0,   47.755169, -122.081078
        45,PNR    45^,TLSBWD-  76              ,PNRBellevue Christian Reformed Church   ,PNRBellevue Christian Reformed Church   , 3, 0, 0,   47.620888, -122.143250
        46,PNR    46^,TLSBWD-  76              ,PNRBellevue Foursquare Church           ,PNRBellevue Foursquare Church           , 3, 0, 0,   47.591682, -122.164284
        47,PNR    47^,TLSBWD-  76              ,PNRBellevue Transit Center              ,PNRBellevue Transit Center              , 2, 0, 0,   47.615486, -122.194641
        48,PNR    48^,TLSBWD-  76              ,PNREastgate Congregational Church       ,PNREastgate Congregational Church       , 3, 0, 0,   47.570400, -122.136635
        49,PNR    49^,TLSBWD-  76              ,PNREastgate P&R                         ,PNREastgate P&R                         , 2, 0, 0,   47.580456, -122.151985
        50,PNR    50^,TLSBWD-  76              ,PNRGrace Lutheran Church                ,PNRGrace Lutheran Church                , 3, 0, 0,   47.617432, -122.210655
        51,PNR    51^,TLSBWD-  76              ,PNRNewport Covenant Church              ,PNRNewport Covenant Church              , 3, 0, 0,   47.564754, -122.171082
        52,PNR    52^,TLSBWD-  76              ,PNRSouth Bellevue P&R                   ,PNRSouth Bellevue P&R                   , 2, 0, 0,   47.586712, -122.190948
        53,PNR    53^,TLSBWD-  76              ,PNRSt Andrew's Lutheran Church          ,PNRSt Andrew's Lutheran Church          , 3, 0, 0,   47.585735, -122.142563
        54,PNR    54^,TLSBWD-  76              ,PNRSt Luke's Lutheran Church            ,PNRSt Luke's Lutheran Church            , 3, 0, 0,   47.638180, -122.201591
        55,PNR    55^,TLSBWD-  76              ,PNRWilburton P&R                        ,PNRWilburton P&R                        , 2, 0, 0,   47.602768, -122.185135
        56,PNR    56^,TLSBWD-  76              ,PNRHoly Spirit Lutheran Church          ,PNRHoly Spirit Lutheran Church          , 3, 0, 0,   47.711227, -122.207787
        57,PNR    57^,TLSBWD-  76              ,PNRHoughton P&R                         ,PNRHoughton P&R                         , 2, 0, 0,   47.668972, -122.184860
        58,PNR    58^,TLSBWD-  76              ,PNRKingsgate P&R                        ,PNRKingsgate P&R                        , 2, 0, 0,   47.716721, -122.187675
        59,PNR    59^,TLSBWD-  76              ,PNRKirkland Transit Center              ,PNRKirkland Transit Center              , 3, 0, 0,   47.676697, -122.203331
        60,PNR    60^,TLSBWD-  76              ,PNRKorean Covenant Church of Kirkland   ,PNRKorean Covenant Church of Kirkland   , 3, 0, 0,   47.729542, -122.198425
        61,PNR    61^,TLSBWD-  76              ,PNRSouth Kirkland P&R                   ,PNRSouth Kirkland P&R                   , 2, 0, 0,   47.643734, -122.196274
        62,PNR    62^,TLSBWD-  76              ,PNRSR-908/Kirkland Way P&R              ,PNRSR-908/Kirkland Way P&R              , 2, 0, 0,   47.679165, -122.188301
        63,PNR    63^,TLSBWD-  76              ,PNRTotem Lake Transit Center            ,PNRTotem Lake Transit Center            , 3, 0, 0,   47.714779, -122.180679
        64,PNR    64^,TLSBWD-  76              ,PNREvergreen Point Bridge               ,PNREvergreen Point Bridge               , 2, 0, 0,   47.637173, -122.236717
        65,PNR    65^,TLSBWD-  76              ,PNRSt. Thomas Episcopal Church          ,PNRSt. Thomas Episcopal Church          , 3, 0, 0,   47.621033, -122.228424
        66,PNR    66^,TLSBWD-  76              ,PNRMercer Island Presbyterian Church    ,PNRMercer Island Presbyterian Church    , 3, 0, 0,   47.576954, -122.228256
        67,PNR    67^,TLSBWD-  76              ,PNRMercer Island United Methodist Church,PNRMercer Island United Methodist Church, 3, 0, 0,   47.589172, -122.244507
        68,PNR    68^,TLSBWD-  76              ,PNRMercer Island P&R                    ,PNRMercer Island P&R                    , 2, 0, 0,   47.588585, -122.232269
        69,PNR    69^,TLSBWD-  76              ,PNRQFC Village                          ,PNRQFC Village                          , 3, 0, 0,   47.541481, -122.224373
        70,PNR    70^,TLSBWD-  76              ,PNRBear Creek P&R                       ,PNRBear Creek P&R                       , 3, 0, 0,   47.671547, -122.102676
        71,PNR    71^,TLSBWD-  76              ,PNROverlake P&R                         ,PNROverlake P&R                         , 2, 0, 0,   47.635105, -122.137657
        72,PNR    72^,TLSBWD-  76              ,PNROverlake Transit Center              ,PNROverlake Transit Center              , 2, 0, 0,   47.643787, -122.133057
        73,PNR    73^,TLSBWD-  76              ,PNRRedmond P&R Garage                   ,PNRRedmond P&R Garage                   , 2, 0, 0,   47.676651, -122.123749
        74,PNR    74^,TLSBWD-  76              ,PNRRedmond Transit Center               ,PNRRedmond Transit Center               , 2, 0, 0,   47.676651, -122.123749
        75,PNR    75^,TLSBWD-  76              ,PNRRedmond Ridge P&R                    ,PNRRedmond Ridge P&R                    , 2, 0, 0,   47.695190, -122.036690
        76,PNR    76^,TLSBWD-  76              ,PNRRedwood Family Church                ,PNRRedwood Family Church                , 3, 0, 0,   47.703323, -122.131927
        77,PNR    77^,TLSBWD-  76              ,PNRSammamish Hills Lutheran             ,PNRSammamish Hills Lutheran             , 3, 0, 0,   47.601860, -122.035309
        78,PNR    78^,TLSBWD-  76              ,PNRSouth Sammamish P&R                  ,PNRSouth Sammamish P&R                  , 2, 0, 0,   47.582390, -122.036972
        79,PNR    79^,TLSBWD-  76              ,PNRFour Corners Shopping Center         ,PNRFour Corners Shopping Center         , 3, 0, 0,   47.359528, -122.020508
        80,PNR    80^,TLSBWD-  76              ,PNRMaple Valley P&R                     ,PNRMaple Valley P&R                     , 2, 0, 0,   47.396152, -122.044983
        81,PNR    81^,TLSBWD-  76              ,PNRNewport Covenant Church              ,PNRNewport Covenant Church              , 3, 0, 0,   47.564770, -122.171112
        82,PNR    82^,TLSBWD-  76              ,PNRNewport Hills Community Church       ,PNRNewport Hills Community Church       , 3, 0, 0,   47.551376, -122.179260
        83,PNR    83^,TLSBWD-  76              ,PNRNewport Hills P&R                    ,PNRNewport Hills P&R                    , 2, 0, 0,   47.557224, -122.189285
        84,PNR    84^,TLSBWD-  76              ,PNRCity View Church                     ,PNRCity View Church                     , 3, 0, 0,   47.479599, -122.219307
        85,PNR    85^,TLSBWD-  76              ,PNRFairwood Assembly of God             ,PNRFairwood Assembly of God             , 3, 0, 0,   47.430389, -122.165886
        86,PNR    86^,TLSBWD-  76              ,PNRKennydale United Methodist Church    ,PNRKennydale United Methodist Church    , 3, 0, 0,   47.518459, -122.201492
        87,PNR    87^,TLSBWD-  76              ,PNRNativity Lutheran Church             ,PNRNativity Lutheran Church             , 3, 0, 0,   47.443844, -122.152672
        88,PNR    88^,TLSBWD-  76              ,PNRNew Life Church at Renton            ,PNRNew Life Church at Renton            , 3, 0, 0,   47.465263, -122.137527
        89,PNR    89^,TLSBWD-  76              ,PNRRenton City Municipal Garage         ,PNRRenton City Municipal Garage         , 3, 0, 0,   47.480854, -122.207909
        90,PNR    90^,TLSBWD-  76              ,PNRRenton Fred Meyer                    ,PNRRenton Fred Meyer                    , 3, 0, 0,   47.478027, -122.216225
        91,PNR    91^,TLSBWD-  76              ,PNRRenton Transit Center P&R Garage     ,PNRRenton Transit Center P&R Garage     , 2, 0, 0,   47.480907, -122.207909
        92,PNR    92^,TLSBWD-  76              ,PNRRenton Transit Center                ,PNRRenton Transit Center                , 2, 0, 0,   47.480907, -122.207909
        93,PNR    93^,TLSBWD-  76              ,PNRSt. Matthew Lutheran Church P&R      ,PNRSt. Matthew Lutheran Church P&R      , 3, 0, 0,   47.506531, -122.184204
        94,PNR    94^,TLSBWD-  76              ,PNRSouth Renton P&R                     ,PNRSouth Renton P&R                     , 2, 0, 0,   47.472530, -122.213585
        95,PNR    95^,TLSBWD-  76              ,PNRIssaquah Highlands P&R               ,PNRIssaquah Highlands P&R               , 2, 0, 0,   47.545048, -122.020103
        96,PNR    96^,TLSBWD-  76              ,PNRIssaquah Transit Center              ,PNRIssaquah Transit Center              , 2, 0, 0,   47.542122, -122.062233
        97,PNR    97^,TLSBWD-  76              ,PNRKlahanie #1 P&R                      ,PNRKlahanie #1 P&R                      , 3, 0, 0,   47.569935, -122.015823
        98,PNR    98^,TLSBWD-  76              ,PNRKlahanie #3 P&R                      ,PNRKlahanie #3 P&R                      , 3, 0, 0,   47.570686, -121.998581
        99,PNR    99^,TLSBWD-  76              ,PNRTibbetts Valley Park P&R             ,PNRTibbetts Valley Park P&R             , 2, 0, 0,   47.542152, -122.062263
