route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used
        69,100108    ,100108                   ,216                                     ,                                        ,Sammamish/CBD                           , 3, 1
        70,100021    ,100021                   ,122                                     ,                                        ,Des moines express                      , 3, 1
        71,100219    ,100219                   ,4                                       ,                                        ,Route 4                                 , 3, 1
        72,100069    ,100069                   ,178                                     ,                                        ,South Fed Way & Fed P&R                 , 3, 0
        73,100101    ,100101                   ,21                                      ,                                        ,35  Av SW/Arbor Heights                 , 3, 1
        74,100077    ,100077                   ,186                                     ,                                        ,Auburn/Enumclaw Shuttle                 , 3, 1
        75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 1
        76,100177    ,100177                   ,303                                     ,                                        ,Shoreline - NTC - First Hill            , 3, 1
        77,100006    ,100006                   ,107                                     ,                                        ,Rainier Beach/Renton Shuttle            , 3, 1
        78,100092    ,100092                   ,201                                     ,                                        ,West Mercer Way Shuttle                 , 3, 0
        79,100127    ,100127                   ,235                                     ,                                        ,BTC To Kingsgate Fall 2011              , 3, 1
        80,100084    ,100084                   ,192                                     ,                                        ,S. Military Rd. - K.D.M. - I-5 to Seneca, 3, 0
        81,100018    ,100018                   ,12                                      ,                                        ,interlaken park                         , 3, 1
        82,100004    ,100004                   ,105                                     ,                                        ,Renton Hub - Renton Highlands           , 3, 1
        83,100205    ,100205                   ,348                                     ,                                        ,NTC - Richmond Beach                    , 3, 1
        84,100022    ,100022                   ,123                                     ,                                        ,Gregory Heights express                 , 3, 0
        85,100152    ,100152                   ,260                                     ,                                        ,Seattle/Juanita/Finn Hill               , 3, 0
        86,100105    ,100105                   ,213                                     ,                                        ,Covenant Shores Van Shuttle             , 3, 1
        87,100038    ,100038                   ,139                                     ,                                        ,Burien/Gregory Heights Shuttle          , 3, 1
        88,100011    ,100011                   ,111                                     ,                                        ,East Renton to C.B.D. Via I-405 & I-90  , 3, 1
        89,100201    ,100201                   ,342                                     ,                                        ,Renton/Shoreline via Bell.&Bothell. for , 3, 0
        90,100229    ,100229                   ,5                                       ,                                        ,Greenwood/SCC/Northgate                 , 3, 1
        91,100459    ,100459                   ,218                                     ,                                        ,Issaquah Highlands CBD                  , 3, 1
        92,100178    ,100178                   ,304                                     ,                                        ,Richmond Beach via Dayton               , 3, 1
        93,100267    ,100267                   ,73                                      ,                                        ,Jackson Park                            , 3, 1
        94,100024    ,100024                   ,125                                     ,                                        ,Shorewood to CBD via SSCC               , 3, 1
        95,100052    ,100052                   ,159                                     ,                                        ,Kent-Kangley-Timberlane--I-5-Seneca St. , 3, 0
