route_id,route_short_name,route_long_name,route_desc,route_type
"100232","522","","ST 522 Woodinville-Seattle CBD",3
"100511","542","","Redmond U District",3
"100236","545","","Redmond to CBD Express for Sound Transit",3
"100240","554","","ST Issaquah - CBD",3
"100243","560","","Bellevue - West Seattle",3
"100239","550","","Bellevue",3
"100241","555","","Issaquah/NTC",3
"100293","908","","Renton Highlands DART",3
"100481","775","","Water Taxi shuttle Alki loop",3
"100272","773","","West Seattle Water Taxi Shuttle",3
"100294","909","","Highlands/Kennydale DART",3
"100300","917","","Auburn/Algona/Pacific Shuttle",3
"100472","919","","North and Southeast Auburn",3
"100292","903","","Federal Way - S Twin Lakes 903",3
"102512","910","","Supermall - North Auburn",3
"100496","930","","Kingsgate/Redmond/Bear Crk Shuttle",3
"102561","907","","Black Diamond-Maple Valley-Renton TC",3
"102558","931","","Redmond/Woodinville",3
"102557","915","","Auburn/Enumclaw Shuttle - old",3
"100297","914","","Kent Shopper Shuttle (DART)",3
"100290","901","","Federal Way/Dash Point DART",3
"100309","927","","Issaquah DART",3
"100313","935","","Kenmore/Finn Hill/Kingsgate P&R",3
"100299","916","","Kent Shuttle (DART)",3
"100340","98","","South Lake Union Streetcar",0
"100479","LINK","","LINK to Sea-Tac",0
"100336","973","","West Seattle Water Taxi - Boat Schedule",4
"100512","A Line","","A-Line Rapid Ride",3
"102548","B Line","","B-Line Rapid Ride",3
"102581","674","","D-Line Rapid Ride",3
"102576","673","","C-Line Rapid Ride",3
"SNDR_S","Sounder / South","Sounder / South","Sounder South runs between Pierce County",2
"TLINK","Tacoma Link","Tacoma Link","Tacoma Link provides service through dow",0
"510N","510","Seattle - Everett","Sound Transit Route",3
"510S","510","Everett - Seattle","Sound Transit Route",3
"511N","511","Seattle - Ash Way","Sound Transit Route",3
"511S","511","Ash Way - Seattle","Sound Transit Route",3
"513S","513","Everett - Seattle","Sound Transit Route",3
"532N","532","Bellevue - Everett","Sound Transit Route",3
"532S","532","Everett - Bellevue","Sound Transit Route",3
"535N","535","Bellevue - Lynnwood","Sound Transit Route",3
"535S","535","Lynnwood - Bellevue","Sound Transit Route",3
