route_id,service_id,trip_id
"100030","GTFPathDay","21759807"
"100030","GTFPathDay","21767718"
"100030","GTFPathDay","21767776"
"100030","GTFPathDay","21767785"
"100031","GTFPathDay","21767748"
"100151","GTFPathDay","21600790"
"100151","GTFPathDay","21600795"
"100151","GTFPathDay","21600819"
"100151","GTFPathDay","21600823"
"100030","GTFPathDay","21759805"
"100030","GTFPathDay","21759812"
"100030","GTFPathDay","21767782"
"100169","GTFPathDay","21381997"
"100151","GTFPathDay","21600794"
"100151","GTFPathDay","21600846"
"100151","GTFPathDay","21600859"
"100151","GTFPathDay","21600863"
"100030","GTFPathDay","21759811"
"100009","GTFPathDay","21542704"
"100009","GTFPathDay","21542707"
"100009","GTFPathDay","21542938"
"100009","GTFPathDay","21542941"
"100009","GTFPathDay","21542974"
"100009","GTFPathDay","21542706"
"100009","GTFPathDay","21542709"
"100009","GTFPathDay","21542940"
"100009","GTFPathDay","21542943"
"100140","GTFPathDay","21382969"
"100140","GTFPathDay","21382970"
"100140","GTFPathDay","21382977"
"100140","GTFPathDay","21382979"
"100140","GTFPathDay","21382988"
"100140","GTFPathDay","21382989"
"100019","GTFPathDay","21381412"
"100019","GTFPathDay","21381422"
"100019","GTFPathDay","21381466"
"100019","GTFPathDay","21381476"
"100019","GTFPathDay","21381486"
"100019","GTFPathDay","21381414"
"100019","GTFPathDay","21381424"
"100019","GTFPathDay","21381468"
"100019","GTFPathDay","21381478"
"100019","GTFPathDay","21381489"
"100019","GTFPathDay","21381409"
"100019","GTFPathDay","21381419"
"100019","GTFPathDay","21381429"
"100019","GTFPathDay","21381473"
"100019","GTFPathDay","21381483"
"100019","GTFPathDay","21381405"
"100030","GTFPathDay","21767781"
"100030","GTFPathDay","21767789"
"100169","GTFPathDay","21382007"
"100169","GTFPathDay","21382261"
"100169","GTFPathDay","21382269"
"100031","GTFPathDay","21759781"
"100031","GTFPathDay","21759789"
"100031","GTFPathDay","21767754"
"100151","GTFPathDay","21600847"
"100151","GTFPathDay","21600864"
"100030","GTFPathDay","21759813"
"100030","GTFPathDay","21767783"
"100169","GTFPathDay","21382012"
"100169","GTFPathDay","21382265"
"100031","GTFPathDay","21759785"
"100031","GTFPathDay","21767759"
"100151","GTFPathDay","21600844"
"100021","GTFPathDay","21381313"
"100289","GTFPathDay","21381758"
"100289","GTFPathDay","21381760"
"100289","GTFPathDay","21381762"
"100289","GTFPathDay","21381773"
"100289","GTFPathDay","21381775"
"100020","GTFPathDay","21381747"
"100249","GTFPathDay","21382144"
"100249","GTFPathDay","21382171"
"100024","GTFPathDay","21538642"
"100024","GTFPathDay","21538681"
"100249","GTFPathDay","21382143"
"100249","GTFPathDay","21382175"
"100249","GTFPathDay","21382201"
"100024","GTFPathDay","21538679"
"100024","GTFPathDay","21538643"
"100024","GTFPathDay","21538646"
"100024","GTFPathDay","21538649"
"100024","GTFPathDay","21538652"
"100024","GTFPathDay","21538678"
"100024","GTFPathDay","21538682"
"100024","GTFPathDay","21538685"
"100024","GTFPathDay","21538688"
"100024","GTFPathDay","21538691"
"100249","GTFPathDay","21382170"
"100249","GTFPathDay","21382176"
"100249","GTFPathDay","21382211"
"100024","GTFPathDay","21538641"
"100024","GTFPathDay","21538680"
"100009","GTFPathDay","21542698"
"100009","GTFPathDay","21542701"
"100009","GTFPathDay","21542703"
"100009","GTFPathDay","21542935"
