,Mean,Min,Max
TOTAL_HHLDS_200KP_DESTINATION,7.472619048,0,49.6
HHLDS_MEDIAN_INCOME_DESTINATION,60090.34954,9787,194167
HHLDS_MEAN_INCOME_DESTINATION,82646.07331,18015,287699
HHLDS_0_VEH_DESTINATION,358.8004057,0,3620
HHLDS_1_VEH_DESTINATION,592.4960986,0,7860
HHLDS_2_VEH_DESTINATION,294.3974719,0,1692
HHLDS_3P_VEH_DESTINATION,95.19023096,0,602
AVG_VEH_PER_HHLD_DESTINATION,1.103898334,0,1.991137371
Unnamed: 0_RAC_ORIGIN,164330.1701,0,439612
SI01,0.101832221,0,66.32670321
SI02,0.24631272,0,152.0275458
SI03,1.24195695,0,3036.029485
Unnamed: 0_LEHD_RAC,473.5043695,0,1317
CNS01_RAC_ORIGIN,0.457802087,0,6.437189055
CNS02_RAC_ORIGIN,0.293430308,0,3.717425432
CNS03_RAC_ORIGIN,3.888580209,0,35.65578518
CNS04_RAC_ORIGIN,34.84992756,0,194.8038791
CNS05_RAC_ORIGIN,97.13751314,4.110318135,374.4207795
CNS06_RAC_ORIGIN,53.63766373,2.868106678,355.4974002
CNS07_RAC_ORIGIN,130.5017049,8.721320297,516.2292539
CNS08_RAC_ORIGIN,95.34740521,1.346413212,410.8871076
CNS09_RAC_ORIGIN,40.59629735,0,401.5748599
CNS10_RAC_ORIGIN,108.1098789,2.311232802,1326.833477
CNS11_RAC_ORIGIN,32.31178659,1.111108372,280.0835716
CNS12_RAC_ORIGIN,163.9294315,3.310881574,2023.990184
CNS13_RAC_ORIGIN,19.18677718,0,221.7895653
CNS14_RAC_ORIGIN,142.5989778,2.038777253,774.0589995
CNS15_RAC_ORIGIN,128.3843422,2.323192114,1217.365921
CNS16_RAC_ORIGIN,234.1732862,5.574057452,1718.021447
CNS17_RAC_ORIGIN,28.77822545,0.768984558,228.4889097
CNS18_RAC_ORIGIN,167.9915001,7.281975834,949.3013836
CNS19_RAC_ORIGIN,65.29336348,1.077496768,413.1987581
CNS20_RAC_ORIGIN,69.43198753,0,674.5790725
Unnamed: 0_RAC_DESTINATION,473.5043695,0,1317
CNS01_RAC_DESTINATION,0.457802087,0,6.437189055
CNS02_RAC_DESTINATION,0.293430308,0,3.717425432
CNS03_RAC_DESTINATION,3.888580209,0,35.65578518
CNS04_RAC_DESTINATION,34.84992756,0,194.8038791
CNS05_RAC_DESTINATION,97.13751314,4.110318135,374.4207795
CNS06_RAC_DESTINATION,53.63766373,2.868106678,355.4974002
CNS07_RAC_DESTINATION,130.5017049,8.721320297,516.2292539
CNS08_RAC_DESTINATION,95.34740521,1.346413212,410.8871076
CNS09_RAC_DESTINATION,40.59629735,0,401.5748599
CNS10_RAC_DESTINATION,108.1098789,2.311232802,1326.833477
CNS11_RAC_DESTINATION,32.31178659,1.111108372,280.0835716
CNS12_RAC_DESTINATION,163.9294315,3.310881574,2023.990184
CNS13_RAC_DESTINATION,19.18677718,0,221.7895653
CNS14_RAC_DESTINATION,142.5989778,2.038777253,774.0589995
CNS15_RAC_DESTINATION,128.3843422,2.323192114,1217.365921
CNS16_RAC_DESTINATION,234.1732862,5.574057452,1718.021447
CNS17_RAC_DESTINATION,28.77822545,0.768984558,228.4889097
CNS18_RAC_DESTINATION,167.9915001,7.281975834,949.3013836
CNS19_RAC_DESTINATION,65.29336348,1.077496768,413.1987581
CNS20_RAC_DESTINATION,69.43198753,0,674.5790725
Unnamed: 0_WAC_ORIGIN,469.866417,0,1314
CNS01_WAC_ORIGIN,0.26792514,0,68.1884058
CNS02_WAC_ORIGIN,0.448752812,0,351.7119476
CNS03_WAC_ORIGIN,6.127897377,0,1555.35394
CNS04_WAC_ORIGIN,32.68848502,0,1968.615949
CNS05_WAC_ORIGIN,78.39312147,0,3114.587668
CNS06_WAC_ORIGIN,49.04661298,0,4434.906391
CNS07_WAC_ORIGIN,117.2693535,0,3654.983942
CNS08_WAC_ORIGIN,111.1497845,0,33809.51247
CNS09_WAC_ORIGIN,51.63757458,0,8895.368458
CNS10_WAC_ORIGIN,144.7996146,0,61900.58106
CNS11_WAC_ORIGIN,39.24769709,0,5644.472683
CNS12_WAC_ORIGIN,210.5618867,0,77431.92796
CNS13_WAC_ORIGIN,16.06691584,0,4103.284964
CNS14_WAC_ORIGIN,148.7593866,0,27421.82986
CNS15_WAC_ORIGIN,129.9986669,0,48558.47387
CNS16_WAC_ORIGIN,228.3054578,0,19834.51311
CNS17_WAC_ORIGIN,28.25120652,0,3856.842056
CNS18_WAC_ORIGIN,169.2614365,0,8340.387673
CNS19_WAC_ORIGIN,73.93540071,0,7974.451903
CNS20_WAC_ORIGIN,75.25792022,0,58313.10407
Unnamed: 0_WAC_DESTINATION,469.866417,0,1314
CNS01_WAC_DESTINATION,0.26792514,0,68.1884058
CNS02_WAC_DESTINATION,0.448752812,0,351.7119476
CNS03_WAC_DESTINATION,6.127897377,0,1555.35394
CNS04_WAC_DESTINATION,32.68848502,0,1968.615949
CNS05_WAC_DESTINATION,78.39312147,0,3114.587668
CNS06_WAC_DESTINATION,49.04661298,0,4434.906391
CNS07_WAC_DESTINATION,117.2693535,0,3654.983942
CNS08_WAC_DESTINATION,111.1497845,0,33809.51247
CNS09_WAC_DESTINATION,51.63757458,0,8895.368458
CNS10_WAC_DESTINATION,144.7996146,0,61900.58106
CNS11_WAC_DESTINATION,39.24769709,0,5644.472683
CNS12_WAC_DESTINATION,210.5618867,0,77431.92796
CNS13_WAC_DESTINATION,16.06691584,0,4103.284964
CNS14_WAC_DESTINATION,148.7593866,0,27421.82986
CNS15_WAC_DESTINATION,129.9986669,0,48558.47387
CNS16_WAC_DESTINATION,228.3054578,0,19834.51311
CNS17_WAC_DESTINATION,28.25120652,0,3856.842056
CNS18_WAC_DESTINATION,169.2614365,0,8340.387673
CNS19_WAC_DESTINATION,73.93540071,0,7974.451903
CNS20_WAC_DESTINATION,75.25792022,0,58313.10407
origin,17031405356,17031010100,17031980100
destination,17031405356,17031010100,17031980100
walk_distance,3755.58403,0,18642.14923
travel_time,6605.715895,0,24519.72975
TOTAL_JOBS_ORIGIN,1711.475097,0,339580.0075
TOTAL_JOBS_DESTINATION,1711.475097,0,339580.0075
TOTAL_WORKERS_ORIGIN,1616.899881,61.9944507,11493.53146
TOTAL_WORKERS_DESTINATION,1616.899881,61.9944507,11493.53146
