,year,month,SI01,SI02,SI03
0,2018,1,249570.0,495894.0,1711734.0
1,2018,2,250273.0,490288.0,1722082.0
2,2018,3,255338.0,492235.0,1740966.0
3,2018,4,258990.0,493079.0,1739004.0
4,2018,5,262545.0,496156.0,1756071.0
5,2018,6,266331.0,499935.0,1773610.0
6,2018,7,264494.0,499996.0,1746135.0
7,2018,8,265181.0,499492.0,1742033.0
8,2018,9,264669.0,497599.0,1768140.0
9,2018,10,265238.0,500240.0,1769567.0
10,2018,11,263889.0,512296.0,1773434.0
11,2018,12,261040.0,517483.0,1768201.0
