,year,month,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20
0,2019,1,668.0,484.0,6980.0,67658.0,183723.0,102730.0,229877.0,160625.0,57107.0,157311.0,45071.0,230146.0,36510.0,200211.0,206158.0,374683.0,41083.0,234351.0,98951.0,90202.0
1,2019,2,688.0,451.0,7023.0,67732.0,184144.0,103130.0,223300.0,158889.0,57140.0,158379.0,45157.0,231651.0,36207.0,202504.0,210538.0,373842.0,42364.0,232630.0,98580.0,90270.0
2,2019,3,744.0,520.0,7036.0,71488.0,184305.0,103548.0,223832.0,159180.0,57565.0,158392.0,45490.0,231669.0,36223.0,203636.0,213168.0,376516.0,43574.0,236918.0,99333.0,90490.0
3,2019,4,789.0,579.0,7100.0,75025.0,183795.0,104134.0,224208.0,159067.0,57618.0,159079.0,46377.0,231844.0,36030.0,203387.0,213033.0,377540.0,46004.0,242581.0,99938.0,90041.0
4,2019,5,824.0,588.0,7192.0,78490.0,184696.0,104189.0,224999.0,160145.0,56940.0,159330.0,46762.0,230643.0,35964.0,209621.0,213549.0,378592.0,49751.0,247562.0,100335.0,90884.0
5,2019,6,829.0,589.0,7227.0,80617.0,185954.0,105096.0,227200.0,161247.0,57575.0,161477.0,47812.0,234522.0,36233.0,213907.0,205315.0,380327.0,53074.0,252960.0,101074.0,93387.0
6,2019,7,859.0,584.0,7299.0,80591.0,184803.0,105085.0,226422.0,160932.0,57706.0,162273.0,47948.0,236967.0,36361.0,209773.0,172051.0,382349.0,52213.0,252970.0,99457.0,94741.0
7,2019,8,879.0,588.0,7321.0,81055.0,184245.0,104855.0,225325.0,161751.0,58793.0,162425.0,48220.0,235929.0,36386.0,214883.0,168275.0,381885.0,51164.0,253323.0,98853.0,94494.0
8,2019,9,871.0,580.0,7219.0,81474.0,183998.0,104168.0,222338.0,162713.0,58261.0,159853.0,47843.0,232720.0,36139.0,214600.0,208282.0,378832.0,47869.0,249179.0,97521.0,93354.0
9,2019,10,865.0,588.0,7193.0,80873.0,183909.0,104368.0,224707.0,163695.0,58554.0,160130.0,48346.0,236327.0,35964.0,212468.0,213153.0,380371.0,46628.0,247201.0,99456.0,90066.0
10,2019,11,833.0,575.0,7178.0,78109.0,184212.0,104709.0,232913.0,166672.0,58585.0,160602.0,47595.0,236544.0,35753.0,214469.0,213460.0,382363.0,45043.0,246999.0,99755.0,90318.0
11,2019,12,852.0,560.0,7175.0,76289.0,184037.0,104791.0,236265.0,170563.0,57870.0,160689.0,47335.0,236878.0,35704.0,212783.0,213096.0,382806.0,44455.0,246041.0,99664.0,90405.0
